state number,state,2011_vet_pop,2011_overall_pop_18,2011_vet_pop_p,2011_vet_suicides,2011_all_suicides,2011_vet_suicides_p,2011_vet_rate,2011_civ_rate
0,Alabama,395753,3662910,0.108043332,163,680,0.239705882,41.18730622,15.82415537
1,Alaska,72407,517799,0.139836114,27,142,0.190140845,37.28921237,25.81995186
2,Arizona,533608,4842927,0.110182953,242,1091,0.221814849,45.3516439,19.7014888
3,Arkansas,238790,2221409,0.107494838,89,447,0.199105145,37.27124251,18.0569237
4,California,1910994,28292703,0.067543706,706,3923,0.179964313,36.94412437,12.1940546
5,Colorado,411754,3857537,0.10674013,170,879,0.193401593,41.28678774,20.57587492
6,Connecticut,225987,2768440,0.081629726,54,364,0.148351648,23.89517981,12.19294909
7,Delaware,77885,699180,0.111394777,17,116,0.146551724,21.82705271,15.93445948
8,Florida*,1571482,15012091,0.104681087,642,2789,0.230190032,40.85315645,15.97397856
9,Georgia,686591,7279776,0.094314853,218,1133,0.192409532,31.7510716,13.87796642
10,Hawaii,109218,1034113,0.10561515,27,207,0.130434783,24.7211998,19.46166862
11,Idaho,121382,1155068,0.105086454,68,290,0.234482759,56.02148589,21.47654123
12,Illinois,719528,9752324,0.073780157,191,1183,0.161453931,26.54517962,10.98220307
13,Indiana,458943,4915722,0.093362277,164,861,0.19047619,35.73428509,15.6390972
14,Iowa,226737,2336891,0.097025064,83,370,0.224324324,36.60628834,13.60090306
15,Kansas,210240,2132796,0.098574829,72,400,0.18,34.24657534,17.06062138
16,Kentucky,311073,3330313,0.093406536,124,641,0.193447738,39.86202596,17.12351453
17,Louisiana,312953,3442258,0.090915033,106,564,0.187943262,33.87090074,14.63583767
18,Maine,128940,1056250,0.122073373,30,198,0.151515152,23.26663564,18.11691883
19,Maryland,425963,4457846,0.095553548,90,504,0.178571429,21.12859568,10.2681551
20,Massachusetts,386609,5177318,0.074673605,59,597,0.098827471,15.26089667,11.23007054
21,Michigan,671051,7579088,0.088539808,217,1274,0.17032967,32.33733353,15.30101822
22,Minnesota,366790,4065374,0.090222941,112,625,0.1792,30.53518362,13.87017302
23,Mississippi,201148,2215005,0.090811533,76,382,0.19895288,37.78312486,15.19472336
24,Missouri***,490162,4578570,0.107055696,180,873,0.206185567,36.72255295,16.95036308
25,Montana,94872,772072,0.122879731,55,224,0.245535714,57.97284763,24.95569994
26,Nebraska,146104,1377398,0.106072464,34,185,0.183783784,23.27109456,12.26352114
27,Nevada,228213,2049720,0.111338622,122,554,0.220216606,53.45883013,23.71662585
28,New Hampshire,115297,1037312,0.111149779,33,203,0.162561576,28.62173344,18.43787791
29,New Jersey,444887,6771714,0.065697843,92,668,0.137724551,20.67940848,9.104089617
30,New Mexico,177041,1555130,0.113843216,83,423,0.196217494,46.88179574,24.6718463
31,New York,917741,15160932,0.060533284,244,1557,0.156711625,26.58702183,9.218439885
32,North Carolina,740470,7285172,0.101640703,207,1171,0.17677199,27.95521763,14.72947126
33,North Dakota**,55556,527822,0.105255181,25,104,0.240384615,44.99964,16.72786099
34,Ohio,876163,8842889,0.099081081,270,1274,0.211930926,30.81618375,12.6024166
35,Oklahoma,319724,2837898,0.112662259,141,637,0.221350078,44.10053671,19.69681206
36,Oregon,319194,3007303,0.106139621,150,683,0.219619327,46.99336454,19.82806501
37,Pennsylvania,954659,9976032,0.095695262,285,1574,0.181067344,29.8535917,14.28829071
38,Rhode Island,71863,829243,0.086660967,18,127,0.141732283,25.04766013,14.39171882
39,South Carolina,398985,3563610,0.111960905,158,645,0.24496124,39.60048623,15.38886914
40,South Dakota,70027,618454,0.113229116,25,123,0.203252033,35.70051552,17.86928798
41,Tennessee,486407,4896267,0.099342417,190,941,0.201912859,39.06193784,17.03001909
42,Texas,1593072,18617868,0.085566833,527,2889,0.182416061,33.0807396,13.87388137
43,Utah,146806,1930847,0.076031918,71,468,0.151709402,48.36314592,22.25285181
44,Vermont,51373,499809,0.102785264,18,124,0.14516129,35.03786035,23.63770973
45,Virginia,734757,6137315,0.119719617,197,981,0.200815494,26.81158533,14.5116443
46,Washington,597778,5194460,0.115079912,207,955,0.216753927,34.62823992,16.27260707
47,West Virginia,155581,1467977,0.105983268,70,277,0.252707581,44.99264049,15.77267837
48,Wisconsin,413735,4383985,0.094374182,167,791,0.211125158,40.36400111,15.7168944
49,Wyoming,52415,430554,0.121738504,30,132,0.227272727,57.23552418,26.9742079
