Company,Pizza Name,Crust Type,Type,Size,Price
Domino's Pizza,Cheese,Hand Tossed,1- Topping Pizza,"Small (10"")",$5.99 
Domino's Pizza,Cheese,Hand Tossed,1- Topping Pizza,"Medium (12"")",$7.99 
Domino's Pizza,Cheese,Hand Tossed,1- Topping Pizza,"Large (14"")",$9.99 
Domino's Pizza,Cheese,Handmade Pan,1- Topping Pizza,"Medium (12"")",$7.99 
Domino's Pizza,Cheese,Thin Crust,1- Topping Pizza,"Small (10"")",$5.99 
Domino's Pizza,Cheese,Thin Crust,1- Topping Pizza,"Medium (12"")",$7.99 
Domino's Pizza,Cheese,Thin Crust,1- Topping Pizza,"Large (14"")",$9.99 
Domino's Pizza,Cheese,Brooklyn Style,1- Topping Pizza,"Large (14"")",$9.99 
Domino's Pizza,Cheese,Brooklyn Style,1- Topping Pizza,"X-Large (16"")",$11.99 
Domino's Pizza,Cheese,Gluten Free,1- Topping Pizza,"Small (10"")",$8.99 
Domino's Pizza,Spinach & Feta ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Spinach & Feta ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Spinach & Feta ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Spinach & Feta ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Spinach & Feta ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Wisconsin 6 Cheese ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Wisconsin 6 Cheese ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Wisconsin 6 Cheese ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Wisconsin 6 Cheese ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Wisconsin 6 Cheese ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Honolulu Hawaiian ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Honolulu Hawaiian ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Honolulu Hawaiian ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Honolulu Hawaiian ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Honolulu Hawaiian ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Philly Cheese Steak ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Philly Cheese Steak ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Philly Cheese Steak ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Philly Cheese Steak ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Philly Cheese Steak ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Pacific Veggie ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Pacific Veggie ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Pacific Veggie ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Pacific Veggie ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Pacific Veggie ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Cali Chicken Bacon Ranch™ ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Cali Chicken Bacon Ranch™ ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Cali Chicken Bacon Ranch™ ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Cali Chicken Bacon Ranch™ ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Cali Chicken Bacon Ranch™ ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Fiery Hawaiian™ ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Fiery Hawaiian™ ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Fiery Hawaiian™ ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Fiery Hawaiian™ ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Fiery Hawaiian™ ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Buffalo Chicken ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Buffalo Chicken ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Buffalo Chicken ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Buffalo Chicken ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Buffalo Chicken ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Memphis BBQ Chicken ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Memphis BBQ Chicken ,"Hand Tossed, Hnadmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Memphis BBQ Chicken ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Memphis BBQ Chicken ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Memphis BBQ Chicken ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,America's Favorite Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,America's Favorite Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,America's Favorite Feast® ,Handmade Pan,Specialty Pizzas,"Medium (12"")",$15.49 
Domino's Pizza,America's Favorite Feast® ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,America's Favorite Feast® ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,America's Favorite Feast® ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Bacon Cheeseburger Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Bacon Cheeseburger Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Bacon Cheeseburger Feast® ,Handmade Pan,Specialty Pizzas,"Medium (12"")",$15.49 
Domino's Pizza,Bacon Cheeseburger Feast® ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Bacon Cheeseburger Feast® ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Bacon Cheeseburger Feast® ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Deluxe Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Deluxe Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Deluxe Feast® ,Handmade Pan,Specialty Pizzas,"Medium (12"")",$15.49 
Domino's Pizza,Deluxe Feast® ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Deluxe Feast® ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Deluxe Feast® ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,ExtravaganZZa Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,ExtravaganZZa Feast® ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,ExtravaganZZa Feast® ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,ExtravaganZZa Feast® ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,ExtravaganZZa Feast® ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,MeatZZa Feast® ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,MeatZZa Feast® ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,MeatZZa Feast® ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,MeatZZa Feast® ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,MeatZZa Feast® ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Domino's Pizza,Ultimate Pepperoni Feast™ ,Hand Tossed or Thin Crust,Specialty Pizzas,"Small (10"")",$11.99 
Domino's Pizza,Ultimate Pepperoni Feast™ ,"Hand Tossed, Handmade Pan or Thin Crust",Specialty Pizzas,"Medium (12"")",$13.99 
Domino's Pizza,Ultimate Pepperoni Feast™ ,"Hand Tossed, Thin Crust or Brooklyn Style",Specialty Pizzas,"Large (14"")",$15.99 
Domino's Pizza,Ultimate Pepperoni Feast™ ,Brooklyn Style,Specialty Pizzas,"X-Large (16"")",$17.99 
Domino's Pizza,Ultimate Pepperoni Feast™ ,Gluten Free Crust,Specialty Pizzas,"Small (10"")",$14.99 
Pizza Hut,Cheese,Hand-Tossed,1- Topping Pizza,Medium,$8.49 
Pizza Hut,Cheese,Hand-Tossed,1- Topping Pizza,Large,$10.49 
Pizza Hut,Cheese,Pan Pizza,1- Topping Pizza,Personal,$4.29 
Pizza Hut,Cheese,Pan Pizza,1- Topping Pizza,Medium,$8.49 
Pizza Hut,Cheese,Pan Pizza,1- Topping Pizza,Large,$10.49 
Pizza Hut,Cheese,Thin N Crispy,1- Topping Pizza,Medium,$8.49 
Pizza Hut,Cheese,Thin N Crispy,1- Topping Pizza,Large,$10.49 
Pizza Hut,Cheese,Stuffed Crust,1- Topping Pizza,Large,$12.49 
Pizza Hut,Cheese,Skinny Slice,1- Topping Pizza,Large,$10.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Pepperoni Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,Pepperoni Lover's® Pizza ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Meat Lover's® Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Meat Lover's® Pizza ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Meat Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Meat Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Meat Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Meat Lover's® Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Meat Lover's® Pizza ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Meat Lover's® Pizza ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,Meat Lover's® Pizza ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,Ultimate Cheese Lover's Pizza ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Veggie Lover's® Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Veggie Lover's® Pizza ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Veggie Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Veggie Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Veggie Lover's® Pizza ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Veggie Lover's® Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Veggie Lover's® Pizza ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Veggie Lover's® Pizza ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,Veggie Lover's® Pizza ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Supreme Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Supreme Pizza ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Supreme Pizza ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Supreme Pizza ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Supreme Pizza ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Supreme Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Supreme Pizza ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Supreme Pizza ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,Supreme Pizza ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,BBQ Lover's™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,BBQ Lover's™ ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,BBQ Lover's™ ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,BBQ Lover's™ ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,BBQ Lover's™ ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,BBQ Lover's™ ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,BBQ Lover's™ ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,BBQ Lover's™ ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,BBQ Lover's™ ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Chicken Supreme Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$13.49 
Pizza Hut,Chicken Supreme Pizza ,Hand-Tossed,Specialty Pizzas,Large,$16.49 
Pizza Hut,Chicken Supreme Pizza ,Pan Pizza,Specialty Pizzas,Personal,$5.29 
Pizza Hut,Chicken Supreme Pizza ,Pan Pizza,Specialty Pizzas,Medium,$13.49 
Pizza Hut,Chicken Supreme Pizza ,Pan Pizza,Specialty Pizzas,Large,$16.49 
Pizza Hut,Chicken Supreme Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$13.49 
Pizza Hut,Chicken Supreme Pizza ,Thin N Crispy,Specialty Pizzas,Large,$16.49 
Pizza Hut,Chicken Supreme Pizza ,Stuffed Crust,Specialty Pizzas,Large,$18.49 
Pizza Hut,Chicken Supreme Pizza ,Skinny Slice,Specialty Pizzas,Large,$16.49 
Pizza Hut,New Primo Meat Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,New Primo Meat Pizza ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,New Primo Meat Pizza ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,New Primo Meat Pizza ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,New Primo Meat Pizza ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,New Primo Meat Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,New Primo Meat Pizza ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,New Primo Meat Pizza ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,New Primo Meat Pizza ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Hawaiian Luau ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Hawaiian Luau ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Hawaiian Luau ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Hawaiian Luau ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Hawaiian Luau ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Hawaiian Luau ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Hawaiian Luau ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Hawaiian Luau ,Stuffed Crust,Specialty Pizzas,Large,$17.49 
Pizza Hut,Hawaiian Luau ,Skinny Slice,Specialty Pizzas,Large,$15.49 
Pizza Hut,Super Supreme Pizza ,Hand-Tossed,Specialty Pizzas,Medium,$13.49 
Pizza Hut,Super Supreme Pizza ,Hand-Tossed,Specialty Pizzas,Large,$16.49 
Pizza Hut,Super Supreme Pizza ,Pan Pizza,Specialty Pizzas,Personal,$5.29 
Pizza Hut,Super Supreme Pizza ,Pan Pizza,Specialty Pizzas,Medium,$13.49 
Pizza Hut,Super Supreme Pizza ,Pan Pizza,Specialty Pizzas,Large,$16.49 
Pizza Hut,Super Supreme Pizza ,Thin N Crispy,Specialty Pizzas,Medium,$13.49 
Pizza Hut,Super Supreme Pizza ,Thin N Crispy,Specialty Pizzas,Large,$16.49 
Pizza Hut,Super Supreme Pizza ,Stuffed Crust,Specialty Pizzas,Large,$18.49 
Pizza Hut,Super Supreme Pizza ,Skinny Slice,Specialty Pizzas,Large,$16.49 
Pizza Hut,Garden Party™ ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Garden Party™ ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,Old Fashioned Meatbrawl™ ,Pan Pizza,Specialty Pizzas,Personal,$4.79 
Pizza Hut,Old Fashioned Meatbrawl™ ,Pan Pizza,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Old Fashioned Meatbrawl™ ,Pan Pizza,Specialty Pizzas,Large,$15.49 
Pizza Hut,Cock-a-doodle Bacon™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Cock-a-doodle Bacon™ ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Hot and Twisted™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Hot and Twisted™ ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Pretzel Piggy™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Pretzel Piggy™ ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,BBQ Bacon Cheeseburger ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,BBQ Bacon Cheeseburger ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Giddy-Up BBQ Chicken™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Giddy-Up BBQ Chicken™ ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Buffalo State of Mind™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Buffalo State of Mind™ ,Hand-Tossed,Specialty Pizzas,Large,$15.49 
Pizza Hut,Cherry Pepper Bombshell™ ,Thin N Crispy,Specialty Pizzas,Medium,$12.49 
Pizza Hut,Cherry Pepper Bombshell™ ,Thin N Crispy,Specialty Pizzas,Large,$15.49 
Pizza Hut,7-Alarm Fire™ ,Hand-Tossed,Specialty Pizzas,Medium,$12.49 
